@RELATION DiggSocialDynamics_AuthorshipBasedFeatures
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorcomments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
4342, 15, 496, 361, 266, A
115295, 124, 6578, 381, 1522, C
11497, 18, 571, 44, 165, B
115295, 124, 6578, 381, 1522, B
8773, 1871, 494, 146, 1190, B
33596, 230, 2641, 233, 455, A
89683, 15816, 14333, 1550, 2667, A
14439, 55, 1162, 687, 283, B
6, 0, 4, 17, 1, C
202, 0, 73, 35, 11, C
66828, 6675, 6453, 722, 937, B
202, 0, 73, 35, 11, B
7885, 24, 564, 123, 231, B
54692, 303, 2239, 401, 2090, B
372, 1, 107, 34, 15, B
272, 1, 38, 35, 7, C
78181, 739, 5043, 283, 864, C
116403, 2859, 6080, 374, 586, C
145565, 367, 13198, 1644, 3369, A
116403, 2859, 6080, 374, 586, C
344, 1, 35, 23, 10, B
43658, 930, 2596, 970, 4284, A
457, 7, 84, 54, 17, B
457, 7, 84, 54, 17, B
2414, 1244, 410, 336, 59, B
97290, 1576, 26421, 615, 20976, B
1521, 4, 108, 13, 19, A
766, 9, 132, 40, 33, B
97290, 1576, 26421, 615, 20976, A
766, 9, 132, 40, 33, C
4764, 8, 1143, 903, 81, B
1026, 0, 123, 36, 31, B
163182, 2959, 8721, 1131, 2273, B
1026, 0, 123, 36, 31, B
1759, 218, 1125, 480, 79, A
87, 0, 0, 0, 3, A
325505, 14513, 20355, 311, 2148, C
7419, 1, 301, 35, 76, B
13128, 69, 1540, 96, 528, A
3593, 5, 195, 33, 47, A
71600, 1956, 7520, 965, 1713, A
9013, 15171, 937, 212, 310, A
2665, 259, 355, 58, 118, B
36501, 250, 2458, 182, 296, B
6587, 5, 461, 32, 88, B
71600, 1956, 7520, 965, 1713, A
6587, 5, 461, 32, 88, C
17950, 373, 1144, 282, 1139, B
2665, 259, 355, 58, 118, A
198, 0, 0, 0, 4, A
224, 0, 3, 0, 6, C
36, 0, 0, 0, 1, A
6064, 7, 420, 73, 68, B
6096, 12, 735, 29, 147, C
82024, 2682, 7305, 863, 1010, A
325505, 14513, 20355, 311, 2148, B
203726, 4805, 11276, 316, 1871, B
