@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class NUMERIC
@DATA
3,4,6,5,11,12,12,26,41,9935,799,1106,104,8659,123
5,8,9,5,11,12,0,0,0,98,0,1,0,54,12
3,5,7,4,10,12,0,0,0,1872,12,265,300,710,12
0,3,3,0,5,8,0,0,0,54741,303,2240,401,2090,15
0,5,5,0,4,8,0,0,0,1113,29,71,83,821,13
20,28,29,5,11,12,0,0,0,15043,136,1703,238,464,122
6,14,16,4,10,11,0,0,0,98,0,1,0,54,21
18,23,24,6,12,15,0,0,0,2969,13,205,32,103,32
8,10,11,6,12,15,0,0,0,27425,2590,531,37,9872,16
16,19,20,6,12,15,0,0,0,8149,74,1223,1047,320,27
4,4,4,6,12,16,0,0,0,27425,2590,531,37,9872,12
6,8,9,6,11,16,0,0,0,27425,2590,531,37,9872,16
16,31,40,6,11,15,7,14,21,79247,379,1789,1438,1328,342
22,31,37,6,11,15,7,14,21,11553,18,574,44,166,112
22,26,31,5,11,15,7,14,21,3787,6,239,90,63,97
3,3,3,5,11,15,0,0,0,3787,6,239,90,63,14
4,4,4,5,11,14,0,0,0,3787,6,239,90,63,18
18,25,32,5,10,13,0,0,0,3787,6,239,90,63,99
7,9,14,5,10,13,0,0,0,11,1,1,0,11,24
7,9,9,4,10,12,0,0,0,2054,400,286,151,1192,11
2,4,4,2,8,9,0,0,0,1347,164,452,528,1168,11
10,19,27,6,11,15,0,0,0,217898,11753,11736,183,2468,54
7,9,11,5,11,15,6,14,21,89707,15817,14341,1551,2667,149
3,8,8,4,10,14,0,0,0,2784,0,1,0,1636,13
5,8,10,3,9,13,0,0,0,662,5,183,116,468,16
16,20,23,5,11,16,0,0,0,155,1,107,148,20,34
9,11,12,4,10,15,0,0,0,109470,548,6100,283,894,21
6,8,9,4,10,15,7,14,22,54741,303,2240,401,2090,70
5,9,10,4,10,14,0,0,0,54741,303,2240,401,2090,22
16,21,36,4,10,14,0,0,0,109879,4376,10372,1581,1943,71
16,17,18,4,10,14,0,0,0,8149,74,1223,1047,320,30
3,6,6,4,10,14,0,0,0,4544,0,2,0,3641,11
3,6,6,2,8,12,0,0,0,3888,281,183,94,467,11
4,5,6,5,11,16,0,0,0,6937,1151,539,1005,4452,13
6,11,12,5,11,16,0,0,0,76527,214,1784,926,2152,19
6,7,7,5,11,16,0,0,0,25900,1404,1003,354,552,20
7,8,8,5,11,16,0,0,0,25900,1404,1003,354,552,17
21,30,34,5,12,17,0,0,0,7997,26,568,124,235,75
27,38,50,5,11,15,0,0,0,7997,26,568,124,235,92
33,43,58,5,11,16,8,14,24,23813,118,3294,1189,306,169
13,22,29,5,11,16,0,0,0,325505,14513,20359,311,2148,54
4,4,4,3,9,14,0,0,0,28,1,58,50,8,23
4,10,18,6,12,18,21,44,65,41348,6137,3497,446,2269,132
17,28,32,5,12,18,0,0,0,991,1087,259,3,111,134
4,6,7,5,11,18,0,0,0,627,0,68,0,415,15
16,29,33,5,11,17,7,15,22,13363,398,624,486,4417,70
3,6,9,1,7,12,7,14,22,54741,303,2240,401,2090,49
13,19,31,6,12,18,0,6,13,52008,218,3972,581,544,92
15,21,37,6,12,18,24,45,66,147417,29039,12137,397,1404,145
7,9,9,5,12,17,0,0,0,9038,39,424,472,133,13
2,3,3,5,11,17,0,0,0,260,165,190,239,107,11
5,5,8,5,11,17,0,0,0,76527,214,1784,926,2152,21
20,30,32,4,10,16,8,15,22,99,2,66,53,61,93
0,3,3,0,5,10,0,0,0,7169,9,137,212,3809,11
35,44,47,5,11,17,0,0,0,7997,26,568,124,235,73
5,5,5,4,10,17,0,0,0,2938,24,221,69,55,14
2,2,3,4,10,16,0,0,0,6937,1151,539,1005,4452,11
4,15,20,5,11,17,7,14,22,5678,119,471,0,2393,51
20,26,35,5,11,16,0,0,0,414,0,173,150,18,53
14,26,35,5,11,16,0,0,0,113,0,7,0,92,105
14,25,31,4,11,16,0,0,0,414,0,173,150,18,60
13,21,35,4,10,16,0,0,0,97303,1576,26429,615,20977,150
2,4,5,2,9,15,0,0,0,8283,1103,1806,756,149,24
10,10,10,4,11,16,0,0,0,22,4,90,54,9,29
4,4,7,2,9,14,0,0,0,42823,901,2147,422,2970,19
2,3,3,1,7,13,0,0,0,639,0,185,382,343,12
20,27,30,5,12,17,0,0,0,351,2,75,327,4,92
7,10,20,5,11,15,0,0,0,1073,258,507,110,46,111
19,32,39,5,11,15,8,15,23,4066,0,218,40,54,110
4,9,10,5,11,16,0,0,0,25900,1404,1003,354,552,20
