@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
2,6,7,5,11,15,0,0,0,A
6,15,16,4,11,14,7,13,20,A
5,7,9,3,10,13,0,0,0,A
6,10,10,6,12,16,0,0,0,A
9,15,17,6,12,16,0,0,0,A
2,4,10,2,9,12,0,0,0,A
5,13,14,2,8,12,0,0,0,A
8,16,17,5,12,16,7,13,20,B
4,5,6,5,12,16,0,0,0,A
8,8,8,5,11,16,0,0,0,A
13,18,20,5,12,16,0,0,0,A
3,21,37,1,7,11,0,0,0,B
11,17,23,4,10,15,0,0,0,A
8,10,14,3,10,14,0,0,0,A
9,10,10,6,12,19,0,0,0,A
8,12,12,5,11,16,0,0,0,A
8,11,11,5,11,16,0,0,0,A
8,11,13,4,11,15,0,0,0,A
3,11,11,0,7,10,0,0,0,A
15,28,31,6,12,19,0,0,0,A
2,2,3,1,8,12,0,0,0,A
8,9,9,6,12,18,0,0,0,A
11,11,12,6,12,18,0,0,0,A
9,10,10,5,11,17,0,0,0,A
7,11,13,5,11,17,0,0,0,A
14,14,14,4,10,17,0,0,0,A
0,10,12,0,5,10,0,0,0,A
0,10,10,0,3,6,0,0,0,A
3,4,11,3,10,16,6,13,19,A
0,0,14,0,0,3,0,0,0,C
14,18,31,6,12,19,7,13,20,B
21,27,31,5,12,19,7,13,19,B
2,2,2,5,11,18,0,0,0,A
3,7,8,5,11,18,0,0,0,A
0,0,12,0,0,2,0,0,0,B
12,19,25,5,11,18,0,0,0,A
4,20,31,5,11,18,70,134,200,C
3,4,9,4,11,17,0,0,0,A
22,39,53,5,12,18,6,13,19,C
30,45,58,5,11,18,0,0,0,C
0,7,11,0,3,9,0,0,0,A
7,12,14,5,12,19,6,13,19,B
18,28,34,5,11,18,0,0,0,C
5,6,7,5,11,18,0,0,0,A
6,11,12,4,11,17,0,0,0,A
6,7,7,4,11,17,0,0,0,A
5,10,14,6,12,19,0,0,0,A
9,15,18,6,12,19,0,0,0,B
7,8,8,5,12,18,0,0,0,A
15,26,37,6,13,20,13,25,39,B
13,15,17,6,12,19,0,0,0,A
11,22,29,6,13,19,0,0,0,A
15,22,30,6,12,19,0,0,0,A
8,15,17,5,12,18,13,25,39,A
11,16,17,5,12,18,0,0,0,A
10,14,21,3,10,17,6,13,19,B
4,10,12,2,9,16,0,0,0,A
10,18,21,6,13,19,0,0,0,A
14,19,22,4,11,17,0,0,0,A
22,33,42,4,11,17,7,13,20,B
5,8,12,4,11,17,6,13,19,C
2,2,2,5,12,18,0,0,0,A
21,29,36,5,12,17,13,26,40,B
13,25,36,4,11,17,28,52,80,C
12,14,16,6,13,18,0,0,0,A
19,30,41,5,12,18,21,42,60,C
26,38,45,5,12,17,0,0,0,A
8,9,11,5,12,17,0,0,0,A
14,19,22,5,12,17,0,0,0,A
9,14,15,4,11,17,0,0,0,A
16,29,41,4,11,16,0,0,0,B
2,2,5,5,12,18,0,0,0,A
18,28,34,5,12,17,0,0,0,B
7,9,15,4,11,17,0,0,0,A
19,26,31,4,11,17,7,13,20,C
2,5,9,3,10,15,0,0,0,A
0,6,9,0,6,12,0,0,0,A
4,7,9,6,12,19,7,13,20,C
16,28,30,6,12,18,0,0,3,B
26,38,46,6,11,18,7,14,20,C
2,3,5,3,10,15,0,0,0,A
0,17,29,0,7,12,0,0,0,C
22,26,29,7,13,19,0,0,0,B
8,16,28,7,12,19,14,26,40,B
24,32,49,6,12,19,18,39,60,C
18,28,42,6,11,18,6,13,20,C
0,4,4,0,5,11,0,0,0,A
17,23,27,5,11,18,0,0,0,B
14,28,32,5,11,18,0,0,0,A
2,7,8,1,7,14,0,0,0,A
23,42,52,5,6,6,0,0,0,B
21,25,33,5,11,17,0,0,0,B
16,22,24,5,11,18,13,27,40,B
18,23,31,4,11,17,0,0,0,B
10,21,26,4,11,17,0,0,0,A
12,27,34,4,11,17,7,13,21,C
11,19,22,4,10,17,0,0,0,A
7,12,28,3,9,15,7,14,21,C
10,18,28,1,7,13,6,13,20,B
5,8,9,1,7,13,6,13,20,A
6,9,11,1,7,13,0,0,0,A
5,8,9,1,7,13,0,0,0,A
21,28,31,4,11,18,0,0,0,B
6,8,11,4,11,18,0,0,0,A
12,20,24,6,12,19,0,0,0,B
4,8,9,5,11,18,0,0,0,A
18,23,27,5,11,18,0,0,0,A
18,24,36,4,11,18,7,14,20,C
17,24,39,4,10,17,0,0,0,B
17,23,26,5,11,18,0,0,0,A
0,7,7,0,3,10,0,0,0,A
13,16,19,5,12,19,0,0,0,C
6,7,9,1,8,15,0,0,0,A
0,6,6,0,6,12,0,0,0,A
9,18,19,7,14,20,7,14,20,C
15,22,25,6,13,19,7,13,19,B
13,19,22,6,13,19,0,0,0,A
13,28,29,6,12,19,7,13,21,B
12,17,22,6,12,19,0,0,0,A
22,34,39,5,12,16,0,0,0,A
4,4,5,5,12,18,0,0,0,A
11,19,20,5,12,18,0,0,0,B
3,3,4,6,13,19,0,0,0,A
5,8,14,6,13,19,0,0,0,A
