@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C, D}
@DATA
0,0,6,12,16,19,8149,74,1223,1047,320,B
0,0,6,11,5,6,398,10,725,1447,82,A
0,0,6,11,3,3,38,0,0,0,2,A
0,0,5,10,3,5,6937,1151,539,1005,4452,A
0,0,0,6,0,4,393,21,1028,1083,192,A
0,0,6,12,4,4,27425,2590,531,37,9872,B
0,0,6,12,3,3,2,0,0,0,2,A
0,0,6,11,6,8,27425,2590,531,37,9872,B
0,0,6,11,5,5,516,160,55,30,288,A
7,14,6,11,16,31,79247,379,1789,1438,1328,D
7,14,6,11,22,31,11553,18,574,44,166,C
7,14,5,11,22,26,3787,6,239,90,63,C
0,0,5,11,6,6,71,1,32,11,48,A
0,0,5,11,3,3,3787,6,239,90,63,B
0,0,5,11,4,4,3787,6,239,90,63,B
0,0,5,10,18,25,3787,6,239,90,63,C
0,0,5,10,7,9,11,1,1,0,11,B
0,0,4,10,7,9,2054,400,286,151,1192,B
0,0,2,8,2,4,1347,164,452,528,1168,B
0,0,0,3,0,4,4023,20,282,484,198,A
0,0,0,2,0,4,5975,138,328,5,3577,A
0,0,6,11,10,19,217898,11753,11736,183,2468,B
0,0,6,11,4,4,6065,6194,485,24,1404,A
0,0,6,11,3,3,6065,6194,485,24,1404,A
0,0,4,10,2,2,27425,2590,531,37,9872,A
0,0,4,10,2,2,27425,2590,531,37,9872,A
0,0,0,4,0,2,20915,6165,1549,977,5409,A
0,0,5,11,6,6,1092,61,497,1080,117,A
0,0,5,11,2,3,9935,799,1106,104,8659,A
0,0,5,11,3,3,9935,799,1106,104,8659,A
6,14,5,11,7,9,89707,15817,14341,1551,2667,D
0,0,5,10,3,3,9935,799,1106,104,8659,B
0,0,4,10,3,8,2784,0,1,0,1636,B
0,0,3,9,5,8,662,5,183,116,468,B
0,0,3,8,3,3,27425,2590,531,37,9872,A
0,0,2,8,4,4,23358,84,753,38,9726,A
0,0,5,11,3,3,1355,247,83,58,976,A
0,0,5,11,16,20,155,1,107,148,20,B
0,0,4,11,8,8,3626,77,182,425,2957,A
0,0,4,11,6,7,155,1,25,2,92,A
0,0,4,10,9,11,109470,548,6100,283,894,B
7,14,4,10,6,8,54741,303,2240,401,2090,B
0,0,4,10,5,9,54741,303,2240,401,2090,B
0,0,4,10,16,21,109879,4376,10372,1581,1943,C
0,0,4,10,16,17,8149,74,1223,1047,320,B
0,0,4,10,3,6,4544,0,2,0,3641,B
