@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
0,20,25,0,4,4,7,15,21,42718,451,3034,199,387,B
0,12,15,0,3,4,0,0,0,138783,711,8161,290,1434,A
0,51,60,0,2,4,0,0,0,7995,26,568,124,235,C
0,0,13,0,0,4,0,0,0,166,0,60,342,12,A
0,0,4,0,0,2,0,0,0,487,232,357,391,328,A
0,0,31,0,0,2,14,27,42,120966,17053,7637,27,12057,C
0,0,7,0,0,1,0,0,0,163,93,54,55,64,A
6,8,8,3,3,3,0,0,0,27,0,2,3,26,A
6,7,7,1,1,1,0,0,0,231,0,0,0,9,A
7,18,30,1,1,1,7,13,20,76499,142,4644,391,1088,C
6,20,31,1,1,1,0,0,0,76499,142,4644,391,1088,B
7,7,7,1,1,1,0,0,0,2872,15,797,709,2632,A
3,7,8,1,1,1,0,0,0,82,0,12,10,81,A
27,43,54,6,12,13,12,26,40,79247,379,1789,1438,1328,C
10,18,33,5,11,13,0,0,0,325505,14513,20359,311,2148,A
5,7,9,4,11,13,0,0,0,54741,303,2240,401,2090,A
11,17,18,4,10,13,0,0,0,9896,138,669,135,144,A
7,9,10,4,10,12,7,13,20,54741,303,2240,401,2090,B
4,7,8,4,10,12,0,0,0,32,0,0,0,16,A
14,29,41,3,9,12,0,0,0,403,1,108,34,15,C
5,5,16,2,8,12,0,0,0,7997,26,568,124,235,A
2,3,7,1,7,10,7,13,20,54741,303,2240,401,2090,B
7,7,7,0,7,10,0,0,0,762,112,59,84,169,A
0,32,42,0,7,10,7,14,20,202,0,73,35,11,C
0,26,35,0,6,10,0,0,0,202,0,73,35,11,B
0,5,8,0,6,10,0,0,0,20915,6165,1549,977,5409,A
0,12,17,0,6,10,13,27,39,20915,6165,1549,977,5409,B
0,7,9,0,5,10,0,0,0,2089,1516,1204,1029,31,A
0,25,37,0,5,10,0,0,0,10622,4,1515,38,140,B
0,32,48,0,5,10,0,0,0,79247,379,1789,1438,1328,C
0,15,27,0,4,10,0,0,0,2782,3,167,496,50,B
0,24,24,0,4,10,0,0,0,4342,15,496,361,266,A
0,24,36,0,4,10,12,26,40,2574,108,72,87,9,C
0,13,36,0,4,8,0,0,0,23813,118,3294,1189,306,B
0,29,43,0,3,8,7,13,20,10622,4,1515,38,140,C
0,34,46,0,3,8,6,13,20,10622,4,1515,38,140,C
0,11,16,0,3,8,7,14,20,23845,197,2824,943,297,B
0,23,23,0,3,8,0,0,0,53,2,11,4,49,A
0,19,22,0,2,7,0,0,0,611,0,45,30,48,A
0,9,12,0,2,7,0,0,0,32,32,59,2,30,A
0,16,16,0,2,7,0,0,0,278,0,32,0,75,A
0,14,18,0,1,7,7,13,20,23845,197,2824,943,297,B
0,19,19,0,1,7,0,0,0,278,0,32,0,75,A
0,16,16,0,1,6,0,0,0,278,0,32,0,75,A
0,30,48,0,1,6,0,0,0,6832,1,663,44,49,C
0,27,42,0,1,6,0,0,0,6832,1,663,44,49,C
0,11,19,0,1,6,14,26,40,1347,164,452,528,1168,B
