@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
15,26,5,11,6,13,C
8,9,3,10,0,0,A
10,12,2,8,0,0,A
11,25,5,12,14,26,C
15,25,5,11,0,0,B
7,8,5,11,0,0,A
15,24,5,11,12,26,C
5,8,5,11,0,0,A
18,28,5,11,12,25,C
10,16,6,12,0,0,C
8,8,6,12,0,0,A
10,11,5,12,0,0,A
11,13,5,12,0,0,B
9,21,6,12,0,0,A
12,15,5,11,0,0,A
2,6,5,11,0,0,A
6,15,4,11,7,13,A
5,7,3,10,0,0,A
6,10,6,12,0,0,A
9,15,6,12,0,0,A
2,4,2,9,0,0,A
5,13,2,8,0,0,A
8,16,5,12,7,13,B
4,5,5,12,0,0,A
8,8,5,11,0,0,A
13,18,5,12,0,0,A
3,21,1,7,0,0,B
11,17,4,10,0,0,A
8,10,3,10,0,0,A
9,10,6,12,0,0,A
8,12,5,11,0,0,A
8,11,5,11,0,0,A
8,11,4,11,0,0,A
3,11,0,7,0,0,A
15,28,6,12,0,0,A
2,2,1,8,0,0,A
8,9,6,12,0,0,A
11,11,6,12,0,0,A
9,10,5,11,0,0,A
7,11,5,11,0,0,A
14,14,4,10,0,0,A
0,10,0,5,0,0,A
0,10,0,3,0,0,A
3,4,3,10,6,13,A
0,0,0,0,0,0,C
14,18,6,12,7,13,B
21,27,5,12,7,13,B
2,2,5,11,0,0,A
3,7,5,11,0,0,A
0,0,0,0,0,0,B
12,19,5,11,0,0,A
4,20,5,11,70,134,C
3,4,4,11,0,0,A
22,39,5,12,6,13,C
30,45,5,11,0,0,C
0,7,0,3,0,0,A
7,12,5,12,6,13,B
18,28,5,11,0,0,C
5,6,5,11,0,0,A
6,11,4,11,0,0,A
6,7,4,11,0,0,A
5,10,6,12,0,0,A
9,15,6,12,0,0,B
7,8,5,12,0,0,A
15,26,6,13,13,25,B
13,15,6,12,0,0,A
11,22,6,13,0,0,A
15,22,6,12,0,0,A
8,15,5,12,13,25,A
11,16,5,12,0,0,A
10,14,3,10,6,13,B
4,10,2,9,0,0,A
10,18,6,13,0,0,A
14,19,4,11,0,0,A
22,33,4,11,7,13,B
5,8,4,11,6,13,C
