@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE class {A, B, C, D}
@DATA
0,6,0,12,7,7,A
7,5,14,11,4,15,B
0,5,0,11,2,2,A
0,5,0,11,20,26,B
0,5,0,11,14,26,C
0,4,0,11,14,25,B
0,4,0,10,13,21,D
0,2,0,9,2,4,B
0,6,0,12,2,2,A
0,5,0,11,5,7,A
0,5,0,11,5,6,A
0,4,0,11,10,10,B
0,4,0,11,4,4,B
0,4,0,10,5,6,A
0,4,0,10,4,4,A
0,2,0,9,4,4,B
0,2,0,8,2,2,A
0,1,0,7,2,3,B
0,6,0,12,6,6,A
0,5,0,12,20,27,C
0,5,0,11,7,10,C
8,5,15,11,19,32,C
0,5,0,12,4,4,A
0,5,0,11,4,9,B
0,5,0,11,2,4,B
0,6,0,12,3,3,A
8,5,15,11,13,14,C
0,5,0,11,14,28,C
0,5,0,11,2,2,B
0,4,0,10,8,11,B
0,3,0,9,2,3,A
7,0,14,6,0,8,B
0,0,0,2,0,3,B
0,5,0,11,6,6,A
14,6,30,12,11,22,C
7,6,15,12,20,23,C
0,6,8,11,15,23,C
0,6,0,11,15,22,B
0,5,0,11,22,25,C
0,4,0,10,5,8,B
0,6,0,12,7,13,B
7,6,15,12,22,40,D
0,6,0,12,11,15,B
0,6,0,12,7,11,C
7,5,15,11,14,22,C
0,5,0,11,4,5,B
14,5,30,11,20,32,C
0,5,0,11,20,31,B
8,3,15,10,16,23,C
0,2,0,8,2,3,B
6,0,14,4,0,5,D
0,6,0,12,8,9,A
7,6,16,12,20,27,D
0,6,0,11,2,3,A
0,5,0,11,5,10,B
7,5,16,11,20,34,C
0,5,0,11,3,4,B
0,5,0,10,3,10,B
0,4,0,10,4,4,B
0,3,0,9,3,4,B
0,3,0,9,2,6,A
0,2,0,9,2,7,A
0,1,0,7,3,6,B
7,6,16,12,15,18,C
0,5,0,11,3,5,B
0,0,0,2,0,3,B
14,6,32,12,24,30,D
0,6,0,12,2,2,A
0,6,0,12,22,28,D
0,5,0,12,6,7,B
0,5,0,11,3,4,B
0,5,0,11,8,9,B
0,5,0,11,5,8,B
7,5,16,11,3,3,C
0,5,0,11,23,27,C
0,5,0,11,5,9,B
0,5,0,11,18,21,B
0,5,0,10,6,8,A
0,2,0,8,2,3,A
0,0,0,0,0,0,A
0,5,0,12,4,7,B
18,5,32,11,16,22,D
0,4,0,11,5,7,A
0,4,0,11,5,6,B
0,4,0,10,18,30,C
0,4,0,10,15,29,B
0,1,0,7,3,4,A
0,4,0,11,16,21,B
16,4,30,10,12,17,D
0,4,0,10,3,3,A
0,4,0,10,19,32,C
0,0,0,6,0,3,B
0,0,0,1,0,3,B
0,0,0,0,0,0,A
0,5,0,12,6,6,A
0,5,0,12,7,7,B
0,5,0,12,5,5,B
0,5,0,11,8,10,C
0,4,0,10,18,26,B
0,4,0,10,6,7,B
0,4,0,10,4,4,B
0,3,0,10,4,6,B
0,6,0,13,13,21,B
27,6,48,12,17,27,D
0,5,0,12,3,3,A
0,5,0,12,3,4,A
0,5,0,12,2,4,A
0,5,0,12,3,4,B
0,5,0,12,5,5,B
0,5,0,11,18,18,B
0,5,0,11,7,7,A
0,5,0,11,5,5,A
0,5,0,11,6,8,B
0,5,0,11,3,4,A
0,5,0,11,8,8,B
0,5,0,11,5,6,B
0,5,0,11,4,4,B
18,5,32,11,16,22,C
0,4,0,11,10,13,B
0,4,0,11,11,12,B
0,4,0,11,3,6,A
0,4,0,11,3,4,B
0,4,0,10,9,15,B
0,2,0,9,2,3,A
0,2,0,9,3,4,A
8,1,15,8,3,8,D
0,4,0,11,7,9,B
0,4,0,10,10,11,B
0,3,0,10,5,10,B
0,2,0,9,5,8,B
0,2,0,8,3,3,B
0,6,0,12,4,6,A
0,2,0,8,5,6,B
0,0,0,6,0,13,B
0,0,0,4,0,3,A
0,6,0,12,17,18,B
0,5,0,11,13,13,B
0,4,0,10,3,4,A
0,5,0,11,9,16,B
0,5,0,11,16,22,B
0,4,0,10,3,3,A
0,6,0,12,3,6,B
0,6,0,12,8,16,C
0,5,0,12,4,5,B
0,5,0,11,14,16,B
0,4,0,10,4,6,B
0,3,0,9,6,6,A
0,2,0,8,3,4,A
0,6,0,12,6,6,A
0,6,0,12,3,8,B
7,5,14,11,17,26,C
0,5,0,11,4,13,C
0,4,0,10,4,5,A
7,6,14,12,31,44,C
0,1,0,7,12,17,B
0,0,0,5,0,4,A
9,0,16,5,0,13,D
0,6,0,12,7,9,B
0,5,0,12,7,12,B
0,5,0,12,5,8,A
0,5,0,11,20,25,C
0,5,0,11,2,3,A
0,5,0,11,6,8,B
0,5,0,11,6,10,B
0,0,0,5,0,2,B
0,6,0,12,12,18,B
14,6,28,12,13,19,D
0,5,0,11,6,6,B
0,3,0,10,4,5,A
0,3,0,9,5,10,B
0,3,0,9,5,10,B
0,0,0,1,0,5,A
0,0,0,0,0,0,A
0,6,0,12,5,6,B
0,6,0,12,9,15,D
0,5,0,12,8,11,B
0,5,0,11,5,7,A
0,5,0,11,9,19,B
0,5,0,11,4,4,A
0,6,0,13,5,5,B
7,6,14,12,7,12,D
0,4,0,10,5,7,B
0,2,0,9,3,3,B
0,0,0,5,0,2,A
0,0,0,2,0,4,B
0,6,0,13,3,3,A
0,6,0,12,15,19,B
0,6,0,12,4,5,A
0,5,0,12,4,4,A
7,4,14,11,3,7,C
0,4,0,11,8,8,B
0,0,0,6,0,5,A
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,A
0,5,0,12,8,10,B
0,4,0,11,6,11,B
