@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE digg4  NUMERIC
@ATTRIBUTE digg5  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE upc4  NUMERIC
@ATTRIBUTE upc5  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE tpc4  NUMERIC
@ATTRIBUTE tpc5  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
20,26,35,40,43,5,11,16,16,16,0,0,0,0,0,A
14,26,35,42,49,5,11,16,16,16,0,0,0,0,0,B
14,25,31,39,46,4,11,16,16,16,0,0,0,0,0,A
13,21,35,36,36,4,10,16,16,16,0,0,0,0,0,C
2,4,5,7,10,2,9,15,15,15,0,0,0,0,0,A
10,10,10,11,11,4,11,16,16,16,0,0,0,0,0,A
4,4,7,11,11,2,9,14,14,14,0,0,0,0,0,A
2,3,3,3,3,1,7,13,14,14,0,0,0,0,0,A
20,27,30,34,34,5,12,17,17,17,0,0,0,0,0,B
7,10,20,23,26,5,11,15,15,15,0,0,0,3,10,B
19,32,39,45,48,5,11,15,15,15,8,15,23,30,37,B
4,9,10,10,10,5,11,16,16,16,0,0,0,0,0,A
13,14,16,18,20,5,11,17,17,17,8,15,23,30,37,B
14,28,32,39,43,5,11,16,16,16,0,0,0,0,0,B
2,2,6,8,8,5,11,16,16,16,0,0,0,0,0,A
8,11,11,12,12,4,10,15,15,15,0,0,0,0,0,A
0,8,19,25,28,0,6,12,12,12,7,14,21,30,37,A
0,3,5,8,8,0,2,8,8,8,0,0,0,0,0,A
11,22,30,33,35,6,12,18,18,18,14,30,44,58,72,B
20,23,29,31,34,6,12,18,18,18,7,15,22,29,36,B
15,23,28,31,35,6,11,18,18,18,0,8,15,22,29,B
15,22,26,29,31,6,11,17,17,17,0,0,0,0,0,A
22,25,31,35,37,5,11,17,17,17,0,0,0,0,0,B
5,8,14,15,15,4,10,16,16,16,0,0,0,0,0,A
7,13,15,15,15,6,12,18,18,18,0,0,0,0,0,A
22,40,49,56,63,6,12,18,18,18,7,15,22,29,37,C
11,15,20,20,26,6,12,18,18,18,0,0,0,0,0,A
7,11,14,15,16,6,12,18,18,18,0,0,0,0,0,B
14,22,27,35,40,5,11,18,18,18,7,15,23,30,37,B
20,32,40,42,49,5,11,17,17,17,14,30,46,58,72,B
20,31,37,39,44,5,11,17,17,17,0,0,0,0,0,A
16,23,30,34,47,3,10,15,15,15,8,15,24,30,42,B
0,5,21,30,35,0,4,9,9,9,6,14,21,30,37,C
20,27,31,31,36,6,12,18,18,18,7,16,23,30,37,C
5,10,13,16,16,5,11,18,18,18,0,0,0,0,0,A
20,34,37,40,44,5,11,17,18,18,7,16,23,30,37,B
3,4,7,8,8,5,11,17,17,17,0,0,0,0,0,A
3,10,14,14,18,5,10,17,17,17,0,0,0,0,0,A
4,4,12,13,13,4,10,16,16,16,0,0,0,0,0,A
3,4,4,5,6,3,9,15,15,15,0,0,0,0,0,A
3,6,8,9,9,1,7,13,13,13,0,0,0,0,0,A
15,18,22,25,32,6,12,19,19,19,7,16,23,30,43,B
3,5,7,7,7,5,11,17,17,17,0,0,0,0,0,A
0,3,5,5,5,0,2,8,8,8,0,0,0,0,0,A
24,30,35,40,48,6,12,18,18,18,14,32,46,60,74,C
22,28,34,37,43,6,12,18,18,18,0,0,0,0,0,C
6,7,10,10,12,5,12,18,18,18,0,0,0,0,0,A
3,4,4,5,5,5,11,18,18,18,0,0,0,0,0,A
8,9,9,9,9,5,11,17,17,17,0,0,0,0,0,A
5,8,8,8,8,5,11,17,17,17,0,0,0,0,0,A
3,3,4,5,14,5,11,17,17,17,7,16,23,29,37,B
23,27,32,35,42,5,11,17,17,17,0,0,0,0,0,B
5,9,10,12,12,5,11,17,17,17,0,0,0,0,0,A
18,21,24,27,32,5,11,17,17,17,0,0,0,0,0,A
16,22,24,28,34,5,11,17,17,17,18,32,46,60,74,C
5,6,6,6,6,4,11,17,17,17,0,0,0,0,0,A
18,30,33,38,42,4,10,16,17,17,0,0,0,0,0,B
15,29,30,38,41,4,10,16,17,17,0,0,0,0,0,A
16,21,23,29,33,4,11,17,19,19,0,0,0,0,0,A
12,17,19,26,31,4,10,16,18,18,16,30,44,60,72,C
19,32,37,41,47,4,10,16,16,16,0,0,0,0,0,B
0,3,4,4,4,0,6,12,13,13,0,0,0,0,0,A
0,3,4,4,4,0,1,6,6,6,0,0,0,0,0,A
7,7,7,7,7,5,12,18,19,19,0,0,0,0,0,A
5,5,5,5,5,5,12,18,19,19,0,0,0,0,0,A
8,10,10,12,12,5,11,17,19,19,0,0,0,0,0,B
18,26,28,31,32,4,10,17,19,19,0,0,0,0,0,A
6,7,10,11,11,4,10,16,19,19,0,0,0,0,0,A
4,4,4,4,4,4,10,16,19,19,0,0,0,0,0,A
4,6,6,6,6,3,10,16,18,18,0,0,0,0,0,A
13,21,23,28,30,6,13,19,21,21,0,0,0,0,0,A
17,27,34,38,44,6,12,18,20,20,27,48,69,90,111,C
5,5,5,5,5,5,12,18,20,20,0,0,0,0,0,A
18,18,20,20,20,5,11,18,20,20,0,0,0,0,0,A
6,8,8,8,8,5,11,17,19,19,0,0,0,0,0,A
8,8,8,8,8,5,11,17,19,19,0,0,0,0,0,A
5,6,6,6,6,5,11,17,19,19,0,0,0,0,0,A
4,4,4,4,4,5,11,17,19,19,0,0,0,0,0,A
16,22,23,28,29,5,11,17,18,18,18,32,46,60,74,B
10,13,15,16,17,4,11,17,18,18,0,0,0,0,0,A
11,12,14,17,20,4,11,17,18,18,0,0,0,0,0,A
3,4,4,4,4,4,11,17,18,18,0,0,0,0,0,A
9,15,16,17,18,4,10,16,18,18,0,0,0,0,0,A
3,8,27,41,50,1,8,14,14,14,8,15,22,29,37,C
7,9,10,11,12,4,11,17,19,19,0,0,0,0,0,A
10,11,18,23,23,4,10,16,19,19,0,0,0,0,0,A
5,10,12,12,12,3,10,16,18,18,0,0,0,0,0,A
5,8,9,9,10,2,9,15,16,16,0,0,0,0,0,A
5,6,6,7,8,2,8,14,16,16,0,0,0,0,0,A
0,13,16,27,30,0,6,12,14,14,0,0,0,0,0,A
17,18,25,28,28,6,12,19,22,22,0,0,0,0,0,A
13,13,13,14,14,5,11,18,21,21,0,0,0,0,0,A
9,16,19,21,21,5,11,18,21,21,0,0,0,0,0,A
16,22,24,26,27,5,11,17,20,20,0,0,0,0,0,A
3,6,10,13,15,6,12,18,24,24,0,0,0,0,0,A
8,16,25,28,30,6,12,18,23,23,0,0,0,0,0,B
4,5,6,8,9,5,12,18,23,23,0,0,0,0,0,A
14,16,18,20,20,5,11,18,23,23,0,0,0,0,0,A
4,6,8,9,11,4,10,17,20,20,0,0,0,0,0,A
17,26,30,34,44,5,11,18,23,23,7,14,21,28,42,B
4,13,14,14,14,5,11,17,22,22,0,0,0,0,0,B
31,44,50,52,64,6,12,19,25,25,7,14,21,28,41,B
12,17,27,30,34,1,7,14,17,17,0,0,0,0,0,A
0,13,23,27,33,0,5,11,13,13,9,16,22,30,37,C
7,9,10,10,10,6,12,19,24,24,0,0,0,0,0,A
7,12,14,16,17,5,12,18,24,24,0,0,0,0,0,A
20,25,28,32,39,5,11,18,24,24,0,0,0,0,0,B
6,8,9,11,14,5,11,18,23,23,0,0,0,0,0,A
6,10,15,17,23,5,11,18,23,23,0,0,0,0,0,A
0,2,2,2,3,0,5,12,15,15,0,0,0,0,0,A
12,18,24,26,28,6,12,19,23,23,0,0,0,0,0,A
13,19,24,25,27,6,12,19,23,23,14,28,42,56,70,C
6,6,6,6,8,5,11,18,23,23,0,0,0,0,0,A
5,10,11,11,16,3,9,16,22,22,0,0,0,0,0,A
5,10,13,13,16,3,9,15,21,21,0,0,0,0,0,A
5,6,7,7,7,6,12,19,25,25,0,0,0,0,0,A
9,15,18,19,19,6,12,19,23,23,0,0,0,0,0,C
8,11,15,15,17,5,12,18,23,23,0,0,0,0,0,A
9,19,26,32,36,5,11,18,22,22,0,0,0,0,0,A
7,12,14,18,26,6,12,19,24,24,7,14,21,28,34,C
5,7,15,16,19,4,10,17,22,22,0,0,0,0,0,A
15,19,19,19,19,6,12,19,25,25,0,0,0,0,0,A
3,7,13,14,18,4,11,17,23,23,7,14,21,28,34,B
8,8,8,9,9,4,11,17,23,23,0,0,0,0,0,A
0,0,9,10,10,0,0,6,9,9,0,0,0,0,0,A
0,0,9,9,9,0,0,6,9,9,0,0,0,0,0,A
0,0,8,8,13,0,0,6,9,9,0,0,0,0,0,A
8,10,13,14,14,5,12,18,24,24,0,0,0,0,0,A
6,11,14,18,18,4,11,17,23,23,0,0,0,0,0,A
8,13,19,21,24,4,11,18,24,24,0,0,0,0,0,A
2,4,7,8,9,2,9,15,21,21,0,0,0,0,0,A
11,15,15,18,22,5,12,19,25,26,0,0,0,0,0,A
12,17,17,21,28,5,12,18,25,26,8,15,21,28,35,B
0,4,5,5,5,0,4,11,16,16,0,0,0,0,0,A
13,20,21,25,28,5,12,19,25,26,8,14,21,28,35,B
7,12,15,17,24,3,10,16,23,23,7,14,21,27,34,A
11,14,14,14,16,5,12,19,25,25,16,28,42,56,70,B
22,22,23,24,24,5,12,19,25,25,0,0,0,0,0,A
18,18,18,18,18,5,12,19,25,25,0,0,0,0,0,A
18,28,33,40,51,5,12,18,23,23,0,0,0,0,0,B
16,24,28,38,50,5,12,18,20,20,7,14,21,32,47,B
3,9,9,9,9,2,8,15,21,21,0,0,0,0,0,A
8,12,15,19,27,5,12,18,24,25,8,14,21,28,35,C
7,11,14,19,26,5,11,18,24,24,7,14,20,27,34,C
25,33,39,49,55,6,12,19,25,27,0,0,0,0,0,C
4,4,4,4,7,6,12,19,25,27,0,0,0,0,0,A
14,23,35,43,54,6,12,19,25,26,7,14,20,27,34,C
4,6,8,9,9,3,10,16,22,23,0,0,0,0,0,A
